"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000146701",14133.3835556291,0.199688435666443,0.0782271187584392,2.55267532328616,0.0106899093398012,0.102882550056112
"ENSG00000146707",281.754741114569,-0.180572253474622,0.176439719000464,-1.02342179242615,0.306108460005453,0.653348664391586
"ENSG00000146729",6159.27903669991,0.0646762577784484,0.0825207663413944,0.783757357643506,0.433182499532041,0.751650949944813
"ENSG00000146731",1192.93899936918,-0.0377823723579827,0.106022555863508,-0.356361644465762,0.721569749662812,0.90825437515315
"ENSG00000146733",102.104072809117,0.218875648611994,0.251057786811501,0.871813821796851,0.383309953025404,0.716986555554152
"ENSG00000146755",34.353469778148,0.288110119102258,0.357781736038544,0.805267821360285,0.420665146653359,NA
"ENSG00000146757",36.3261044680499,-0.496982012021809,0.355253160553786,-1.39895169756432,0.161827468214226,NA
"ENSG00000146776",46.4168391160034,0.234882271541213,0.309537185796169,0.758817622952364,0.447961662100543,NA
"ENSG00000146802",133.378093932044,-0.202848312171037,0.20053024347386,-1.01155969621849,0.311748624725633,0.658323980464696
"ENSG00000146809",1687.11941170639,-0.512475428355927,0.105705947596615,-4.84812292976727,1.24635162541292e-06,0.000174808415169195
"ENSG00000146826",122.758099362811,0.26336487164022,0.198938533283708,1.32385047428008,0.18555270909713,0.520497977396609
"ENSG00000146828",134.563871076968,0.273135084762657,0.199487429601994,1.36918444088232,0.170941628331902,0.501319767448166
"ENSG00000146830",1338.22563331872,-0.0940013593632263,0.103542708739663,-0.907851074280595,0.363956909752906,0.700995208812906
"ENSG00000146833",87.2729891086717,-0.176559861328414,0.241207456547611,-0.731983429764177,0.464178681674274,0.772356932098311
"ENSG00000146834",713.220777070068,-0.247991727844463,0.115329345206936,-2.15029164866489,0.0315321525801272,0.19741496288734
"ENSG00000146842",106.816623140518,-0.225582990988062,0.206969267615171,-1.08993472116595,0.275741900513602,0.624150284945273
"ENSG00000146856",30.663665509877,-0.292520093800911,0.39960532639102,-0.732022509416394,0.464154828998532,NA
"ENSG00000146858",11.5803926107337,0.112997011151874,0.58692031731571,0.192525301677523,0.847330750739325,NA
