"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000259030",29.5995159490671,0.233081432640556,0.296395667937029,0.7863860975528,0.43164132572634,0.901761942080147
"ENSG00000259032",0.276775563494218,0.209351710922665,1.67448079134858,0.125024850690619,0.900503876690546,NA
"ENSG00000259039",0.903265432827217,0.345418570658922,0.896613974015496,0.385247810841003,0.700053823852406,NA
"ENSG00000259040",18.324561209366,-0.185729201235319,2.37115038124161,-0.0783287313637467,0.937566563344176,0.992509017154702
"ENSG00000259045",117.715011958313,0.0730675867888887,0.156395616804233,0.46719715220888,0.64035883093024,0.94844641016441
"ENSG00000259048",7.58103826280817,-0.108053903116119,0.285340846821324,-0.378683614070091,0.70492282280096,0.960701419118295
"ENSG00000259049",3.18151324002696,-0.538843286793212,0.578679911283896,-0.931159482619157,0.351771073196129,NA
"ENSG00000259051",0.412971039210569,0.548710469034693,1.20152906649991,0.456676816511067,0.647903356787912,NA
"ENSG00000259055",2.40392009924903,-0.548162542466003,0.686013910133062,-0.79905455905359,0.424258776803623,NA
"ENSG00000259065",80.7888856550742,0.109908919169303,0.225055356944209,0.488363932597032,0.625292084271456,0.946866088075248
"ENSG00000259066",1.90555286501628,0.465682795934021,0.983373991253946,0.473556144534804,0.635816455194089,NA
"ENSG00000259070",9.14453901233857,-0.00794138275852353,0.345814236461496,-0.0229643025682887,0.981678747858764,0.998081111674601
"ENSG00000259071",0.4303830951876,0.539784204565557,1.02869366862427,0.524727837867848,0.599772402457109,NA
"ENSG00000259075",10.2744418193121,0.357009799217427,1.042378474242,0.342495368083114,0.731978129199325,0.963770379059816
"ENSG00000259080",1.08291535857159,-2.07426069711872,3.12613876505972,-0.663521632597487,0.506996529461644,NA
"ENSG00000259081",1.29357693331305,0.140254116123976,0.622094325959339,0.225454742586968,0.821625529207309,NA
"ENSG00000259084",3.50765346780145,1.25400549798378,0.598914771215147,2.09379624322758,0.0362781349772261,NA
"ENSG00000259087",0.524088916040144,-0.541279282531938,0.986778014493384,-0.548531964212674,0.583326687527205,NA
"ENSG00000259088",1.00530895093115,0.257522982470915,0.716085235143357,0.35962615877614,0.719126718767422,NA
"ENSG00000259091",3.56851697312541,-0.351815727596552,0.44318484331274,-0.793835197446697,0.427291379137944,NA
"ENSG00000259093",0.366044721974878,0.209352774154939,1.26946056589354,0.164914751808444,0.869011081119264,NA
"ENSG00000259098",9.82756863499824,0.267394956358042,0.222903760534176,1.19959822892734,0.230295414739088,0.809238258455479
"ENSG00000259100",1.1160907741339,-0.0952973837641288,0.77445298142526,-0.123051219441042,0.902066538867327,NA
"ENSG00000259103",0.478451441780727,1.19278933146141,1.11485030361492,1.06990985928224,0.284659884796795,NA
"ENSG00000259104",5.00114031852678,-0.0330238429822679,0.445530813692744,-0.0741224668806914,0.940912938446871,0.992855108057409
"ENSG00000259106",3.00724758210485,-0.542659228918047,0.546281608273708,-0.993369025607309,0.320530150550517,NA
"ENSG00000259115",1.72552935096461,1.22028030099613,1.05477344354107,1.15691223406178,0.24730821984369,NA
"ENSG00000259119",1.36727960266726,-0.810559813053178,0.70042201185028,-1.15724491712068,0.247172311122108,NA
"ENSG00000259123",0.524821663561707,-0.538289768114364,1.06901190987309,-0.50353954258402,0.614584986316693,NA
"ENSG00000259124",0.436189712968878,0.586969565513476,1.10303752621912,0.532139253254086,0.594629552341101,NA
"ENSG00000259129",2.02392025645001,-0.152893256763125,0.542187770903134,-0.281993185697359,0.777948735387609,NA
"ENSG00000259132",3.41529576064579,-2.30097304619992,3.09272962722865,-0.743994245711607,0.456879956343653,NA
"ENSG00000259133",0.610709873765851,0.293841651174426,1.03368181480163,0.284267021985692,0.776205756730993,NA
"ENSG00000259134",22.4746224909118,-0.250078537021123,0.213699208771783,-1.17023613919035,0.241905953162989,0.815645201860247
"ENSG00000259135",1.06648966825496,1.19532109466638,0.735225958258249,1.62578739398443,0.10399489095457,NA
"ENSG00000259137",0.525752221095252,0.613751920225982,1.37288525516828,0.447052598107154,0.654837083205044,NA
"ENSG00000259138",1.12857893012387,-0.273151357640922,0.807600852080733,-0.338225692725762,0.735193115594665,NA
"ENSG00000259146",2.33906173392993,-0.507905606321505,0.494399169841051,-1.02731888988567,0.304270330380385,NA
"ENSG00000259151",0.743097024666318,-0.226166736659876,0.918283942675609,-0.246292814399969,0.805455571939317,NA
"ENSG00000259152",0.351703505476425,-0.0310961004072993,1.34272949826191,-0.0231588718707316,0.98152354529329,NA
"ENSG00000259153",3.21817445663936,0.546050861839055,0.422210089921836,1.29331551962708,0.195901955155738,NA
"ENSG00000259156",0.600978595307016,0.293865453632092,1.05677141912912,0.278078540271522,0.780952068693632,NA
"ENSG00000259158",13.7407433488317,-0.169245660545314,0.234339567321149,-0.722224003739719,0.470156767729877,0.912961044301938
"ENSG00000259162",1.02166476565784,-1.70206285893065,0.951516721120018,-1.78878922582377,0.0736487667478673,NA
"ENSG00000259163",0.336134522106595,-0.271544835871095,1.33516182364641,-0.203379718519429,0.83883825081742,NA
"ENSG00000259169",0.598751855801159,0.461578370661275,1.30530021086307,0.353618552130683,0.723624769008499,NA
"ENSG00000259171",17.632727572026,-0.63453374170834,0.937070732591718,-0.677146046332456,0.498313296058052,0.919523586247221
