"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Direction"
"GO:0060537","muscle tissue development","2/4","433/18870",0.00305693127541724,0.0322537365417746,0.00736509717745898,"196541/1827",2,"Up-regulated"
"GO:0042159","lipoprotein catabolic process","1/4","15/18870",0.00317611311466759,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0070885","negative regulation of calcineurin-NFAT signaling cascade","1/4","15/18870",0.00317611311466759,0.0322537365417746,0.00736509717745898,"1827",1,"Up-regulated"
"GO:0106057","negative regulation of calcineurin-mediated signaling","1/4","15/18870",0.00317611311466759,0.0322537365417746,0.00736509717745898,"1827",1,"Up-regulated"
"GO:0034374","low-density lipoprotein particle remodeling","1/4","16/18870",0.00338758463667987,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0061003","positive regulation of dendritic spine morphogenesis","1/4","17/18870",0.00359902250988742,0.0322537365417746,0.00736509717745898,"23316",1,"Up-regulated"
"GO:0010744","positive regulation of macrophage derived foam cell differentiation","1/4","19/18870",0.00402179732416585,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0010885","regulation of cholesterol storage","1/4","19/18870",0.00402179732416585,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0042953","lipoprotein transport","1/4","20/18870",0.00423313427237582,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0044872","lipoprotein localization","1/4","21/18870",0.00444443758605795,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0050849","negative regulation of calcium-mediated signaling","1/4","21/18870",0.00444443758605795,0.0322537365417746,0.00736509717745898,"1827",1,"Up-regulated"
"GO:0071549","cellular response to dexamethasone stimulus","1/4","24/18870",0.00507814575562682,0.0322537365417746,0.00736509717745898,"196541",1,"Up-regulated"
"GO:0010878","cholesterol storage","1/4","25/18870",0.00528931456688553,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0045540","regulation of cholesterol biosynthetic process","1/4","25/18870",0.00528931456688553,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0106118","regulation of sterol biosynthetic process","1/4","25/18870",0.00528931456688553,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0010884","positive regulation of lipid storage","1/4","27/18870",0.00571155134291434,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0034377","plasma lipoprotein particle assembly","1/4","27/18870",0.00571155134291434,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0019433","triglyceride catabolic process","1/4","28/18870",0.00592261931482063,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0065005","protein-lipid complex assembly","1/4","30/18870",0.00634465444425381,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","1/4","31/18870",0.00655562160891532,0.0322537365417746,0.00736509717745898,"196541",1,"Up-regulated"
"GO:2000463","positive regulation of excitatory postsynaptic potential","1/4","32/18870",0.00676655517829616,0.0322537365417746,0.00736509717745898,"23316",1,"Up-regulated"
"GO:0010743","regulation of macrophage derived foam cell differentiation","1/4","33/18870",0.0069774551559626,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0034368","protein-lipid complex remodeling","1/4","33/18870",0.0069774551559626,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0034369","plasma lipoprotein particle remodeling","1/4","33/18870",0.0069774551559626,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0034383","low-density lipoprotein particle clearance","1/4","34/18870",0.00718832154548199,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0050775","positive regulation of dendrite morphogenesis","1/4","34/18870",0.00718832154548199,0.0322537365417746,0.00736509717745898,"23316",1,"Up-regulated"
"GO:0034367","protein-containing complex remodeling","1/4","35/18870",0.00739915435042071,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0010770","positive regulation of cell morphogenesis","1/4","36/18870",0.00760995357434424,0.0322537365417746,0.00736509717745898,"23316",1,"Up-regulated"
"GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","1/4","36/18870",0.00760995357434424,0.0322537365417746,0.00736509717745898,"196541",1,"Up-regulated"
"GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","1/4","37/18870",0.00782071922081862,0.0322537365417746,0.00736509717745898,"196541",1,"Up-regulated"
"GO:0046461","neutral lipid catabolic process","1/4","38/18870",0.00803145129341043,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0046464","acylglycerol catabolic process","1/4","38/18870",0.00803145129341043,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0048741","skeletal muscle fiber development","1/4","38/18870",0.00803145129341043,0.0322537365417746,0.00736509717745898,"1827",1,"Up-regulated"
"GO:0060999","positive regulation of dendritic spine development","1/4","39/18870",0.00824214979568438,0.0322537365417746,0.00736509717745898,"23316",1,"Up-regulated"
"GO:0071548","response to dexamethasone","1/4","39/18870",0.00824214979568438,0.0322537365417746,0.00736509717745898,"196541",1,"Up-regulated"
"GO:0010742","macrophage derived foam cell differentiation","1/4","40/18870",0.0084528147312064,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0070884","regulation of calcineurin-NFAT signaling cascade","1/4","40/18870",0.0084528147312064,0.0322537365417746,0.00736509717745898,"1827",1,"Up-regulated"
"GO:0090077","foam cell differentiation","1/4","41/18870",0.00866344610354197,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0090181","regulation of cholesterol metabolic process","1/4","41/18870",0.00866344610354197,0.0322537365417746,0.00736509717745898,"338",1,"Up-regulated"
"GO:0106056","regulation of calcineurin-mediated signaling","1/4","41/18870",0.00866344610354197,0.0322537365417746,0.00736509717745898,"1827",1,"Up-regulated"
"GO:0014904","myotube cell development","1/4","42/18870",0.00887404391625546,0.0322537365417746,0.00736509717745898,"1827",1,"Up-regulated"
"GO:0061001","regulation of dendritic spine morphogenesis","1/4","42/18870",0.00887404391625546,0.0322537365417746,0.00736509717745898,"23316",1,"Up-regulated"
"GO:0070296","sarcoplasmic reticulum calcium ion transport","1/4","43/18870",0.00908460817291246,0.0323960555600086,0.00739759553305682,"196541",1,"Up-regulated"
"GO:0033173","calcineurin-NFAT signaling cascade","1/4","45/18870",0.00950563603231391,0.0332697261130987,0.00759709702387662,"1827",1,"Up-regulated"
"GO:0097720","calcineurin-mediated signaling","1/4","48/18870",0.0101369262401009,0.0342821287591833,0.00782827780076032,"1827",1,"Up-regulated"
"GO:0098815","modulation of excitatory postsynaptic potential","1/4","49/18870",0.0103472892352684,0.0342821287591833,0.00782827780076032,"23316",1,"Up-regulated"
"GO:0071385","cellular response to glucocorticoid stimulus","1/4","50/18870",0.0105576186993277,0.0342821287591833,0.00782827780076032,"196541",1,"Up-regulated"
"GO:0071827","plasma lipoprotein particle organization","1/4","50/18870",0.0105576186993277,0.0342821287591833,0.00782827780076032,"338",1,"Up-regulated"
"GO:0018022","peptidyl-lysine methylation","1/4","53/18870",0.0111884059404892,0.0342821287591833,0.00782827780076032,"196541",1,"Up-regulated"
"GO:0071825","protein-lipid complex organization","1/4","53/18870",0.0111884059404892,0.0342821287591833,0.00782827780076032,"338",1,"Up-regulated"
"GO:0010883","regulation of lipid storage","1/4","54/18870",0.0113986013157475,0.0342821287591833,0.00782827780076032,"338",1,"Up-regulated"
"GO:0120009","intermembrane lipid transfer","1/4","54/18870",0.0113986013157475,0.0342821287591833,0.00782827780076032,"338",1,"Up-regulated"
"GO:0034381","plasma lipoprotein particle clearance","1/4","55/18870",0.0116087631777129,0.0342821287591833,0.00782827780076032,"338",1,"Up-regulated"
"GO:1902930","regulation of alcohol biosynthetic process","1/4","55/18870",0.0116087631777129,0.0342821287591833,0.00782827780076032,"338",1,"Up-regulated"
"GO:0060997","dendritic spine morphogenesis","1/4","56/18870",0.0118188915299472,0.0343656999870772,0.0078473611777787,"23316",1,"Up-regulated"
"GO:0060998","regulation of dendritic spine development","1/4","57/18870",0.0120289863760127,0.0344466428040363,0.00786584436071005,"23316",1,"Up-regulated"
"GO:0006695","cholesterol biosynthetic process","1/4","60/18870",0.0126590699128174,0.034674843674239,0.00791795372121302,"338",1,"Up-regulated"
"GO:0071384","cellular response to corticosteroid stimulus","1/4","60/18870",0.0126590699128174,0.034674843674239,0.00791795372121302,"196541",1,"Up-regulated"
"GO:1902653","secondary alcohol biosynthetic process","1/4","60/18870",0.0126590699128174,0.034674843674239,0.00791795372121302,"338",1,"Up-regulated"
"GO:0002931","response to ischemia","1/4","63/18870",0.0132888520223257,0.0353745497495711,0.00807773065849299,"1827",1,"Up-regulated"
"GO:0051965","positive regulation of synapse assembly","1/4","63/18870",0.0132888520223257,0.0353745497495711,0.00807773065849299,"23316",1,"Up-regulated"
"GO:0048814","regulation of dendrite morphogenesis","1/4","64/18870",0.0134987124249371,0.0354341201154598,0.008091333471088,"23316",1,"Up-regulated"
"GO:0046503","glycerolipid catabolic process","1/4","65/18870",0.0137085393498706,0.0354919717414458,0.00810454381174758,"338",1,"Up-regulated"
"GO:0016126","sterol biosynthetic process","1/4","67/18870",0.0141280927809463,0.0360839126432277,0.00823971271719485,"338",1,"Up-regulated"
"GO:0033344","cholesterol efflux","1/4","73/18870",0.0153859499801611,0.0387725939500059,0.00885366946226812,"338",1,"Up-regulated"
"GO:0006479","protein methylation","1/4","80/18870",0.0168519283232385,0.0402885846055595,0.00919984388096876,"196541",1,"Up-regulated"
"GO:0008213","protein alkylation","1/4","80/18870",0.0168519283232385,0.0402885846055595,0.00919984388096876,"196541",1,"Up-regulated"
"GO:0048844","artery morphogenesis","1/4","80/18870",0.0168519283232385,0.0402885846055595,0.00919984388096876,"338",1,"Up-regulated"
"GO:0097061","dendritic spine organization","1/4","80/18870",0.0168519283232385,0.0402885846055595,0.00919984388096876,"23316",1,"Up-regulated"
"GO:0050810","regulation of steroid biosynthetic process","1/4","81/18870",0.0170612200894282,0.0402885846055595,0.00919984388096876,"338",1,"Up-regulated"
"GO:0050848","regulation of calcium-mediated signaling","1/4","83/18870",0.0174797033738406,0.0402885846055595,0.00919984388096876,"1827",1,"Up-regulated"
"GO:0051279","regulation of release of sequestered calcium ion into cytosol","1/4","83/18870",0.0174797033738406,0.0402885846055595,0.00919984388096876,"196541",1,"Up-regulated"
"GO:0097006","regulation of plasma lipoprotein particle levels","1/4","91/18870",0.0191523003935991,0.0430926758855979,0.00984015433756342,"338",1,"Up-regulated"
"GO:0106027","neuron projection organization","1/4","91/18870",0.0191523003935991,0.0430926758855979,0.00984015433756342,"23316",1,"Up-regulated"
"GO:0009791","post-embryonic development","1/4","94/18870",0.0197789733816467,0.0434217672674167,0.00991530191013136,"338",1,"Up-regulated"
"GO:0019915","lipid storage","1/4","94/18870",0.0197789733816467,0.0434217672674167,0.00991530191013136,"338",1,"Up-regulated"
"GO:0060996","dendritic spine development","1/4","95/18870",0.0199877976310331,0.0434217672674167,0.00991530191013136,"23316",1,"Up-regulated"
"GO:0042158","lipoprotein biosynthetic process","1/4","97/18870",0.0204053460311895,0.0438228395868626,0.0100068862325891,"338",1,"Up-regulated"
"GO:0050773","regulation of dendrite development","1/4","99/18870",0.0208227609902224,0.0438228395868626,0.0100068862325891,"23316",1,"Up-regulated"
"GO:0042632","cholesterol homeostasis","1/4","100/18870",0.0210314184382026,0.0438228395868626,0.0100068862325891,"338",1,"Up-regulated"
"GO:0055092","sterol homeostasis","1/4","101/18870",0.0212400425365643,0.0438228395868626,0.0100068862325891,"338",1,"Up-regulated"
"GO:0099175","regulation of postsynapse organization","1/4","103/18870",0.0216571906986459,0.0438228395868626,0.0100068862325891,"23316",1,"Up-regulated"
"GO:1901655","cellular response to ketone","1/4","103/18870",0.0216571906986459,0.0438228395868626,0.0100068862325891,"196541",1,"Up-regulated"
"GO:0019218","regulation of steroid metabolic process","1/4","104/18870",0.0218657147694725,0.0438228395868626,0.0100068862325891,"338",1,"Up-regulated"
"GO:0006641","triglyceride metabolic process","1/4","106/18870",0.0222826629084638,0.0438228395868626,0.0100068862325891,"338",1,"Up-regulated"
"GO:1901890","positive regulation of cell junction assembly","1/4","106/18870",0.0222826629084638,0.0438228395868626,0.0100068862325891,"23316",1,"Up-regulated"
"GO:0060079","excitatory postsynaptic potential","1/4","107/18870",0.0224910869837337,0.0438228395868626,0.0100068862325891,"23316",1,"Up-regulated"
"GO:0060840","artery development","1/4","111/18870",0.0233244500728674,0.044528495593656,0.0101680218286822,"338",1,"Up-regulated"
"GO:1905954","positive regulation of lipid localization","1/4","111/18870",0.0233244500728674,0.044528495593656,0.0101680218286822,"338",1,"Up-regulated"
"GO:0051963","regulation of synapse assembly","1/4","114/18870",0.02394912261663,0.0452052074905835,0.0103225480763794,"23316",1,"Up-regulated"
"GO:0099565","chemical synaptic transmission, postsynaptic","1/4","115/18870",0.0241572801933806,0.0452052074905835,0.0103225480763794,"23316",1,"Up-regulated"
"GO:0031644","regulation of nervous system process","1/4","119/18870",0.0249895775725579,0.0463042172667985,0.0105735054744569,"23316",1,"Up-regulated"
"GO:0051384","response to glucocorticoid","1/4","127/18870",0.0266525750158012,0.048158667289832,0.0109969666325988,"196541",1,"Up-regulated"
"GO:0030301","cholesterol transport","1/4","128/18870",0.0268603000171317,0.048158667289832,0.0109969666325988,"338",1,"Up-regulated"
"GO:0014902","myotube differentiation","1/4","130/18870",0.02727565027278,0.048158667289832,0.0109969666325988,"1827",1,"Up-regulated"
"GO:0006639","acylglycerol metabolic process","1/4","134/18870",0.0281059518953755,0.048158667289832,0.0109969666325988,"338",1,"Up-regulated"
"GO:0030317","flagellated sperm motility","1/4","134/18870",0.0281059518953755,0.048158667289832,0.0109969666325988,"338",1,"Up-regulated"
"GO:0097722","sperm motility","1/4","134/18870",0.0281059518953755,0.048158667289832,0.0109969666325988,"338",1,"Up-regulated"
"GO:0006638","neutral lipid metabolic process","1/4","135/18870",0.0283134442199066,0.048158667289832,0.0109969666325988,"338",1,"Up-regulated"
"GO:0042157","lipoprotein metabolic process","1/4","135/18870",0.0283134442199066,0.048158667289832,0.0109969666325988,"338",1,"Up-regulated"
"GO:0051209","release of sequestered calcium ion into cytosol","1/4","136/18870",0.0285209033190859,0.048158667289832,0.0109969666325988,"196541",1,"Up-regulated"
"GO:0051283","negative regulation of sequestering of calcium ion","1/4","137/18870",0.0287283291964596,0.048158667289832,0.0109969666325988,"196541",1,"Up-regulated"
"GO:0048813","dendrite morphogenesis","1/4","139/18870",0.0291430812999794,0.048158667289832,0.0109969666325988,"23316",1,"Up-regulated"
"GO:0051282","regulation of sequestering of calcium ion","1/4","139/18870",0.0291430812999794,0.048158667289832,0.0109969666325988,"196541",1,"Up-regulated"
"GO:0008203","cholesterol metabolic process","1/4","140/18870",0.0293504075332185,0.048158667289832,0.0109969666325988,"338",1,"Up-regulated"
"GO:0015918","sterol transport","1/4","141/18870",0.0295577005588387,0.048158667289832,0.0109969666325988,"338",1,"Up-regulated"
"GO:0051208","sequestering of calcium ion","1/4","143/18870",0.0299721870014072,0.048416609771504,0.0110558674499118,"196541",1,"Up-regulated"
"GO:0046165","alcohol biosynthetic process","1/4","145/18870",0.0303865406560515,0.0486699676609639,0.0111137213817851,"338",1,"Up-regulated"
"GO:0060078","regulation of postsynaptic membrane potential","1/4","148/18870",0.0310078222227046,0.0490804010080717,0.0112074432822664,"23316",1,"Up-regulated"
"GO:0031960","response to corticosteroid","1/4","149/18870",0.0312148497150189,0.0490804010080717,0.0112074432822664,"196541",1,"Up-regulated"
"GO:1902652","secondary alcohol metabolic process","1/4","150/18870",0.0314218440316226,0.0490804010080717,0.0112074432822664,"338",1,"Up-regulated"
"GO:0016125","sterol metabolic process","1/4","154/18870",0.0322494896118181,0.0499602748904395,0.0114083612949486,"338",1,"Up-regulated"
"GO:0010976","positive regulation of neuron projection development","1/4","158/18870",0.0330766046641637,0.0504151474316689,0.0115122308253881,"23316",1,"Up-regulated"
